codigo,nome,unidade,frequencia,primeiro_valor,ultimo_valor,origem
178,Fundo de renda fixa-capital estrangeiro - Aplicações em valores mobiliários,u.m.c. (mil),M,1993-05-31,2001-03-01 00:00:00,Sisbacen PESP300
181,Depósitos especiais remunerados - Crédito rural,u.m.c. (mil),M,1991-08-31,1995-12-01 00:00:00,Sisbacen PDER300
177,Fundo de renda fixa-capital estrangeiro - Aplicações em títulos de renda fixa,u.m.c. (mil),M,1993-05-31,2001-03-01 00:00:00,Sisbacen PESP300
180,Fundo de renda fixa-capital estrangeiro - Aplicações em ações,u.m.c. (mil),M,1993-05-31,2001-03-01 00:00:00,Sisbacen PESP300
182,Depósitos especiais remunerados - Depósito interfinanceiro rural,u.m.c. (mil),M,1991-08-31,1995-12-01 00:00:00,Sisbacen PDER300
183,Depósitos especiais remunerados - Recolhimento especial remunerado,u.m.c. (mil),M,1991-08-31,1995-12-01 00:00:00,Sisbacen PDER300
185,Depósitos especiais remunerados - Títulos federais,u.m.c. (mil),M,1991-08-31,1995-12-01 00:00:00,Sisbacen PDER300
184,Depósitos especiais remunerados - Operações com lastro do SFH,u.m.c. (mil),M,1991-08-31,1995-12-01 00:00:00,Sisbacen PDER300
189,Índice geral de preços do mercado (IGP-M),Var. % mensal,M,1989-06-30,2023-06-01 00:00:00,FGV
147,Fundo de ações-tradicional - Aplicações em quotas de fundos,u.m.c. (mil),M,1993-05-31,2000-08-01 00:00:00,Sisbacen PESP300
192,Índice nacional de custo da construção (INCC),Var. % mensal,M,1944-02-29,2023-06-01 00:00:00,FGV
188,Índice nacional de preços ao consumidor (INPC),Var. % mensal,M,1979-04-30,2023-06-01 00:00:00,IBGE
186,Depósitos especiais remunerados - Títulos estaduais ou municipais,u.m.c. (mil),M,1991-08-31,1995-12-01 00:00:00,Sisbacen PDER300
190,Índice geral de preços-disponibilidade interna (IGP-DI),Var. % mensal,M,1944-02-29,2023-06-01 00:00:00,FGV
191,Índice de preços ao consumidor-Brasil (IPC-Br),Var. % mensal,M,1990-01-31,2023-06-01 00:00:00,FGV
